Release,className,LOC,Age,CHG,MAX_CHG,AVG_CHG,Bug Fixed,NAuth,Number of Commit,LOC Added,AVG_LOC Added,MAX_LOC Added,Buggy
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,0,547,207,171,63,0,0,0,0,267.7103,7120,false
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,302,547,207,207,52,0,3,27,604,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,0,547,207,207,138,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,0,547,207,207,155,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,0,547,207,207,165,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,0,547,207,207,172,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,0,547,207,207,177,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,0,547,207,207,181,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,0,547,207,207,184,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,0,547,207,207,186,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,0,547,207,207,188,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,0,547,207,207,189,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/BKException.java,0,547,207,207,191,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,0,547,207,207,192,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,0,547,207,207,193,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,0,547,207,207,194,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/DigestManager.java,0,547,207,207,194,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,0,547,207,207,195,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,0,547,207,207,196,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,0,547,207,207,196,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,0,547,207,207,197,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,0,547,207,207,197,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,0,547,207,207,198,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,0,547,207,207,198,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,0,547,207,207,198,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,0,547,207,207,199,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,0,547,207,207,199,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,0,547,207,207,199,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,0,547,207,207,199,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,0,547,207,207,200,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,0,547,207,207,200,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,0,547,207,207,200,0,0,0,0,267.7103,7120,false
