Dataset,#trainingRelease,%training,%DefectiveInTraining,%DefectiveInTesting,Classifier,Balancing,FeatureSelection,Cost Sensitive,Sensitivity,TP,FP,TN,FN,Recall,Precision,AUC,Kappa
1,1,14,13,19,NaiveBayes,NoSampling,true,no Cost Sensitive,0,1.0,0.18282548476454294,0.18282548476454294,0.0,1.0,0.547945205479452,0.909314404432133,0.6185621052079783
1,1,14,13,19,NaiveBayes,OverSampling,true,no Cost Sensitive,0,1.0,0.18282548476454294,0.18282548476454294,0.0,1.0,0.547945205479452,0.9097991689750693,0.6185621052079783
1,1,14,13,19,NaiveBayes,UnderSampling,true,no Cost Sensitive,0,1.0,0.18282548476454294,0.18282548476454294,0.0,1.0,0.547945205479452,0.9127596952908588,0.6185621052079783
1,1,14,13,19,NaiveBayes,Smote,true,no Cost Sensitive,0,1.0,0.18282548476454294,0.18282548476454294,0.0,1.0,0.547945205479452,0.9118594182825485,0.6185621052079783
1,1,14,13,19,NaiveBayes,NoSampling,true,Sensitive Treshold,90,0.9875,0.16897506925207756,0.16897506925207756,0.0125,0.9875,0.5642857142857143,0.9092624653739613,0.6335834896810506
1,1,14,13,19,NaiveBayes,NoSampling,true,Sensitive Treshold,83,0.9875,0.1772853185595568,0.1772853185595568,0.0125,0.9875,0.5524475524475524,0.9051073407202216,0.6201449717079893
1,1,14,13,19,NaiveBayes,NoSampling,true,Sensitive learning,90,1.0,0.1772853185595568,0.1772853185595568,0.0,1.0,0.5555555555555556,0.909314404432133,0.6273764258555133
1,1,14,13,19,NaiveBayes,NoSampling,false,no Cost Sensitive,0,1.0,0.18282548476454294,0.18282548476454294,0.0,1.0,0.547945205479452,0.927648891966759,0.6185621052079783
1,1,14,13,19,RandomForest,NoSampling,true,no Cost Sensitive,0,1.0,0.12465373961218837,0.12465373961218837,0.0,1.0,0.64,0.9510907202216067,0.7181308145728287
1,1,14,13,19,RandomForest,OverSampling,true,no Cost Sensitive,0,0.9875,0.12188365650969529,0.12188365650969529,0.0125,0.9875,0.6422764227642277,0.9545879501385042,0.7158627206735106
1,1,14,13,19,RandomForest,UnderSampling,true,no Cost Sensitive,0,1.0,0.15512465373961218,0.15512465373961218,0.0,1.0,0.5882352941176471,0.9365650969529086,0.6639817132905192
1,1,14,13,19,RandomForest,Smote,true,no Cost Sensitive,0,1.0,0.12465373961218837,0.12465373961218837,0.0,1.0,0.64,0.9519390581717452,0.7181308145728287
1,1,14,13,19,RandomForest,NoSampling,true,Sensitive Treshold,90,0.0,0.0,0.0,1.0,0.0,NaN,0.5,0.0
1,1,14,13,19,RandomForest,NoSampling,true,Sensitive Treshold,83,0.225,0.0,0.0,0.775,0.225,1.0,0.6125,0.322177599286033
1,1,14,13,19,RandomForest,NoSampling,true,Sensitive learning,90,0.225,0.027700831024930747,0.027700831024930747,0.775,0.225,0.6428571428571429,0.9445290858725762,0.264114211550941
1,1,14,13,19,RandomForest,NoSampling,false,no Cost Sensitive,0,0.8875,0.08587257617728532,0.08587257617728532,0.1125,0.8875,0.696078431372549,0.9595048476454293,0.7241249882706201
1,1,14,13,19,IBk,NoSampling,true,no Cost Sensitive,0,0.9875,0.13019390581717452,0.13019390581717452,0.0125,0.9875,0.626984126984127,0.9388504155124654,0.7005347593582888
1,1,14,13,19,IBk,OverSampling,true,no Cost Sensitive,0,0.9875,0.13019390581717452,0.13019390581717452,0.0125,0.9875,0.626984126984127,0.9512984764542937,0.7005347593582888
1,1,14,13,19,IBk,UnderSampling,true,no Cost Sensitive,0,1.0,0.1634349030470914,0.1634349030470914,0.0,1.0,0.5755395683453237,0.9176073407202217,0.6499952918387387
1,1,14,13,19,IBk,Smote,true,no Cost Sensitive,0,0.9875,0.13019390581717452,0.13019390581717452,0.0125,0.9875,0.626984126984127,0.9470914127423823,0.7005347593582888
1,1,14,13,19,IBk,NoSampling,true,Sensitive Treshold,90,0.975,0.12742382271468145,0.12742382271468145,0.025,0.975,0.6290322580645161,0.9237880886426593,0.6981347327591124
1,1,14,13,19,IBk,NoSampling,true,Sensitive Treshold,83,0.975,0.12742382271468145,0.12742382271468145,0.025,0.975,0.6290322580645161,0.9237880886426593,0.6981347327591124
1,1,14,13,19,IBk,NoSampling,true,Sensitive learning,90,0.975,0.12742382271468145,0.12742382271468145,0.025,0.975,0.6290322580645161,0.9388504155124654,0.6981347327591124
1,1,14,13,19,IBk,NoSampling,false,no Cost Sensitive,0,0.875,0.0886426592797784,0.0886426592797784,0.125,0.875,0.6862745098039216,0.930713296398892,0.7103312376841513
2,2,28,17,12,NaiveBayes,NoSampling,true,no Cost Sensitive,0,0.8404255319148937,0.24420401854714066,0.24420401854714066,0.1595744680851064,0.8404255319148937,0.3333333333333333,0.8699644841987569,0.3613182871235335
2,2,28,17,12,NaiveBayes,OverSampling,true,no Cost Sensitive,0,0.8404255319148937,0.24420401854714066,0.24420401854714066,0.1595744680851064,0.8404255319148937,0.3333333333333333,0.8694218816797659,0.3613182871235335
2,2,28,17,12,NaiveBayes,UnderSampling,true,no Cost Sensitive,0,0.9787234042553191,0.3075734157650695,0.3075734157650695,0.02127659574468085,0.9787234042553191,0.3161512027491409,0.8745272781084548,0.3540509244200419
